driver,transition,delta_auc,fold_min,fold_max,fold_sd
water temperature,entry,0.025507237853398052,0.0009124009575297576,0.0453097712246362,0.014402882908084245
water temperature,exit,0.008642049130048634,-0.0005867069617776083,0.02284400123834486,0.007889758006336177
wind speed,entry,0.023171519086157708,0.012438148300036075,0.030991024099672554,0.006046663580315815
wind speed,exit,0.031909241606499286,0.01852605774666259,0.05194450426786708,0.011201569615588491
solar radiation,entry,0.029509217517831744,0.026278205795908935,0.033793626785765696,0.0029141456185891226
solar radiation,exit,0.03852007543530097,0.01364482323781363,0.05461578643959834,0.014634771862017141
