target,wind_x_deficit,lo,hi,p
daily minimum,0.006398330019814627,0.0032688361695599184,0.009527823870069336,6.144377497042778e-05
daily maximum,-0.004235379378649062,-0.008147678832023601,-0.00032307992527452235,0.03385294629564463
