lat,lon,bU,seU,bT,n,ev,exit_rate,U_bar,tw_bar,q_bar,do_bar,sat_bar
40.73522634,-111.4760313,-0.17260486967179803,0.22319519525104484,-0.19974283646514596,54,27,0.5,1.9289185,14.661,4.33,7.114338781575037,0.5143868158810797
42.12788298,-121.9288769,0.4994061763937497,0.14745889381651467,-0.17659194815018237,641,98,0.15288611544461778,2.1337965,18.363986904328847,,6.2613818181818175,0.5035190357684945
39.0105,-75.4583056,0.4540617705012921,0.1288718043936837,-0.2868024043668606,527,116,0.22011385199240988,3.412731,23.409263657957247,,4.582318037974684,0.362567619650576
38.791,-75.25077778,0.473486308322393,0.25623697508544574,-0.4887705730966403,103,36,0.34951456310679613,3.969371,23.42780082987552,,5.812309820193638,0.4597665884799823
36.60319824,-78.2977743,0.15382294004281136,0.12480407775060974,-0.195497151560194,392,91,0.23214285714285715,2.5019095,20.217898627243926,,5.131923890063425,0.42229599982218585
35.915,-76.72277778,0.1710407487401283,0.15967052756647196,0.10244032870887182,216,67,0.3101851851851852,2.8457608,25.063292995966265,,5.547231389805647,0.5768378447191539
35.73514055,-79.4230754,0.21187466194047672,0.3362052566059361,-0.13127478272059537,98,18,0.1836734693877551,2.3492222,23.17983333333333,5.215,5.199666805497709,0.5345177994057517
33.95346259,-78.71974629,0.10106858906403755,0.19997116250942623,0.27958281181613603,262,54,0.20610687022900764,2.9314559,25.171843196381452,9.18,6.163003387278886,0.5554816807816683
33.9126719,-78.7150175,0.31979417254118336,0.4323482507179062,0.5376043144086682,63,10,0.15873015873015872,2.9355152,25.037096774193547,512.0,4.456998123827392,0.49867071602574237
33.8508333,-78.8972222,0.7977426822240087,0.4809687709245524,-0.2229836984063212,75,6,0.08,3.136605,25.400438596491227,629.0,4.061159844054581,0.46942751945296374
33.86100349,-79.0411471,0.301234835427821,0.08998424897303547,0.243341427841336,1120,172,0.15357142857142858,3.1324086,24.576272612536812,7.44,3.6471905365441484,0.2719033327889573
33.8326111,-79.0437222,0.4129165954520297,0.306672328734037,1.1992793391422487,90,14,0.15555555555555556,3.1570084,25.852121697357887,678.5,3.9733386709367493,0.45249916002254315
33.8515612,-78.6558483,-0.10691113085087485,0.27461539877137264,-0.20530054889325386,95,17,0.17894736842105263,3.9630258,26.973955589010163,,5.628216704288938,0.594601459730521
33.64905837,-79.09420639,0.6606436970039674,0.2165153477207196,0.5820986129241287,271,27,0.0996309963099631,3.1435947,25.745020362828583,,4.054424287301,0.44742638617316216
34.0795843,-81.5617714,-0.45079472966546047,0.2703642405326125,0.46102318052049734,71,31,0.43661971830985913,2.4989924,27.369817640491252,,7.366319315221436,0.7186087040555976
34.0509822,-81.2095418,0.044125555350646946,0.15282787048244328,-0.14817382786074543,43,15,0.3488372093023256,2.5762784,15.160189573459716,953.0,7.283302952971199,0.6714781529327438
33.21491667,-79.9749167,0.20904204539293797,0.43409162069423235,1.0193493760372594,45,20,0.4444444444444444,2.7275,26.1115610711953,5200.0,6.46462140992167,0.5812577651961373
32.8346201,-80.0237014,-0.5100185260018473,0.3488129381026818,-0.10900858418976611,61,32,0.5245901639344263,3.4192686,27.183720930232557,,4.671560309848765,0.47586384447321445
32.16533333,-81.1549167,0.22465696043342562,0.12117395160489687,-0.8616650856918249,741,92,0.1241565452091768,2.449972,25.886590229312063,,5.14423940149626,0.321516023035038
32.1657222,-81.1379722,0.3217257992213011,0.15434396211193505,-0.2716566300418651,241,75,0.3112033195020747,2.44913,25.852303120356613,,5.376473501733532,0.4199891983369821
32.14277778,-81.1352778,0.25603165360160046,0.11550716690642604,-0.9250564344560337,1015,79,0.07783251231527094,2.4408567,26.12052200614125,,4.4007172131147545,0.2638345134642008
32.11608333,-81.1283333,0.32014932917909655,0.10940159744652611,-0.30143623833817373,780,98,0.12564102564102564,2.6417634,26.110899182561308,,3.6387301587301586,0.31805057517938007
32.08041667,-81.0813611,0.37038942816620685,0.12927946096904921,-0.09934025882390436,334,71,0.2125748502994012,3.920086,26.430146520146522,,3.971172161172161,0.4059880271682455
32.09777778,-81.0827778,0.7000081917610278,0.31070553850596905,-0.5015463990797289,113,40,0.35398230088495575,3.921156,26.615823735603406,,4.871371371371372,0.4541124951440774
31.45333333,-81.3627778,0.14578032549442155,0.12003137101242452,0.2744951022631796,632,166,0.2626582278481013,4.070029,27.598698884758363,,4.365997770345596,0.33536539476224225
33.68902778,-84.3301111,0.5595775617148075,0.2978497627033085,0.5381129563372804,47,25,0.5319148936170213,2.4514072,22.487897526501765,4.055,6.593763821318001,0.6331826397970387
28.7141611,-81.0353374,1.0844321481622035,0.30274883653583734,-0.12451159560385128,142,28,0.19718309859154928,2.4634778,28.50734299516908,1690.0,4.3137198067632845,0.4768753515294786
28.390564,-81.519517,-0.25400311807932974,0.1946697877926586,-0.6876856210143857,598,31,0.051839464882943144,2.411164,25.313843111404086,7.77,2.4421607378129115,0.2672853813667866
28.32528785,-81.5206284,0.17185281403058097,0.21635072335874025,-0.1458660675079169,124,35,0.28225806451612906,2.3694198,28.085227272727273,31.9,5.115710872162485,0.5357286092507384
