aU_z,aT_z,aL_z,ep,n_days,cls
-0.03299226581010009,0.3418547639575751,-0.42730044431618797,3,4,3-4
1.4364034663691523,-0.05733453988237133,-1.5121906024016636,8,5,5-7
-1.7682400068226358,-0.38580737886499117,-3.2966326426085906,11,4,3-4
-2.303671696490289,-0.4578698446609385,0.3797932798065866,17,5,5-7
-0.2713149254344762,-0.28517789094798246,-0.8333437940440102,22,3,3-4
-0.5798905623857875,-0.28925578118901285,0.07760607057519187,23,3,3-4
-0.012553737456102776,-0.1835309610852743,0.2565919663362147,28,4,3-4
2.1632211679246054,-1.0677800231201595,0.6252244855410007,30,5,5-7
0.8891648874319976,-0.23843773704406618,-0.010147806766566764,31,14,8-14
-0.22023777347010956,-0.15934280997460706,0.3416118012804289,36,12,8-14
0.20745867550273214,-0.3724097253642228,1.066589670465369,38,8,8-14
-0.1930619826699847,-0.4707728647082652,0.08351244534160202,39,40,15+
0.2731772706077692,0.25870678057154317,0.043018407250890456,40,3,3-4
-0.03910034963197847,0.2347054567241736,-0.1441475835986437,41,7,5-7
0.9812048266726615,1.2221161679992647,1.4284190341143996,45,4,3-4
-0.46726538933054784,0.11126721876916662,-0.04359607284093664,47,5,5-7
0.830981467743019,-0.5896351962175724,0.09514740991927109,49,4,3-4
0.8046481592875654,0.13213853225879157,0.749971059927279,50,16,15+
0.31702166320705427,-0.3320217267664916,0.3731074210260277,51,11,8-14
-0.4601579602409274,0.8997637566871435,0.8605574112419436,54,12,8-14
0.737086670801295,-0.2962566693699155,0.7704040452344275,55,44,15+
0.8146392915998788,-0.5987726929596907,-0.834497246905364,58,5,5-7
1.0001631202151628,-0.291449178971837,-0.5876382581813401,61,4,3-4
0.16646812651481824,-0.8591860221148103,-1.8659091810393946,63,10,8-14
0.26107796597078714,0.2973231897510479,-0.11022748313898378,65,3,3-4
-0.7741138024607365,-0.5222439503243304,-0.07523697861726836,66,15,15+
0.8880882743650811,0.30694903956857744,-0.02044295949050745,67,8,8-14
-0.007417152730076926,-0.9757436871940575,0.6941264775474478,69,7,5-7
1.2299239383311036,0.5283995723221929,-0.20893536702038396,73,50,15+
