driver,b,lo,hi,p
wind speed,0.005228276801592865,-0.002155808814810635,0.012612362417996365,0.16521444648941408
water temperature,0.21014081050682495,0.19324520221811956,0.22703641879553035,2.9815363164632025e-131
solar radiation,0.13632089228870714,0.12352234851205005,0.14911943606536424,8.826096368556512e-97
