k,p,e,n
1,0.37587318645889306,0.015560551322179346,3722
2,0.2787746170678337,0.018385484736101375,2285
3,0.19668100799016594,0.019314680339139446,1627
4,0.16926677067082682,0.02052715229264803,1282
5,0.1623931623931624,0.022276443843717596,1053
6,0.10701956271576525,0.020554113084140374,869
7,0.127129750982962,0.023636994064468828,763
8,0.12310030395136778,0.025104272877850515,658
9,0.08787346221441125,0.023262498217248483,569
10,0.048500881834215165,0.004420623856783573,9072
