driver,contrast_sd,lo,hi
water temperature,-0.06950383118203095,-0.10212630950894704,-0.03628825895917605
wind speed,0.3211594310798442,0.26607967380198727,0.37725509146458613
solar radiation,-0.18747951732821572,-0.24316255602635925,-0.13211394397152898
