wind_sd,day,still_hypoxic
-1.0,1,0.664171923280928
-1.0,2,0.5151226126836246
-1.0,3,0.426163460567533
-1.0,4,0.3656241946215008
-1.0,5,0.321189457064579
-1.0,6,0.28691641264453294
-1.0,7,0.2595335375780192
-1.0,8,0.23707077766039908
-1.0,9,0.2182616045693276
-1.0,10,0.20225007244019366
-1.0,11,0.1884344249967743
-1.0,12,0.17637784347260663
-1.0,13,0.16575471591554927
-1.0,14,0.15631684144379085
-1.0,15,0.14787137971653855
-1.0,16,0.1402660088308653
-1.0,17,0.13337866396285344
-1.0,18,0.12711027572060762
-1.0,19,0.12137952503567886
-1.0,20,0.11611898530970347
-1.0,21,0.11127223865745839
-1.0,22,0.10679168877385108
-1.0,23,0.10263688026134886
-1.0,24,0.09877319168872631
-1.0,25,0.09517080819438052
-1.0,26,0.09180390578377082
-1.0,27,0.08864999776526579
-1.0,28,0.08568940667035128
-1.0,29,0.08290483422952591
-1.0,30,0.08028100865667516
-1.0,31,0.07780439339131046
-1.0,32,0.07546294507617941
-1.0,33,0.07324591126358905
-1.0,34,0.0711436603961851
-1.0,35,0.0691475381728435
-1.0,36,0.06724974561354931
-1.0,37,0.06544323506954497
-1.0,38,0.06372162115293005
-1.0,39,0.0620791041321112
-1.0,40,0.06051040379229871
0.0,1,0.616901443699684
0.0,2,0.45515440284547853
0.0,3,0.3622764274279464
0.0,4,0.3010546654096486
0.0,5,0.2573314197158058
0.0,6,0.22440873199963557
0.0,7,0.19866533303925274
0.0,8,0.177956433408814
0.0,9,0.16092418732864858
0.0,10,0.14666397787931035
0.0,11,0.13454830688139036
0.0,12,0.12412738801539681
0.0,13,0.11506992494908883
0.0,14,0.1071262312260471
0.0,15,0.10010439558293206
0.0,16,0.09385438482708125
0.0,17,0.08825714906127768
0.0,18,0.08321697658132773
0.0,19,0.07865601652877297
0.0,20,0.0745102817293227
0.0,21,0.07072668339528584
0.0,22,0.06726079861368525
0.0,23,0.06407516697745305
0.0,24,0.06113797511789308
0.0,25,0.058422029525219694
0.0,26,0.0559039463259301
0.0,27,0.05356350622210398
0.0,28,0.05138313649974191
0.0,29,0.0493474917586512
0.0,30,0.04744311203768152
0.0,31,0.04565814212852062
0.0,32,0.04398209964554917
0.0,33,0.04240568223070457
0.0,34,0.04092060638679635
0.0,35,0.039519472037412594
0.0,36,0.038195648139689654
0.0,37,0.03694317562363826
0.0,38,0.0357566846680648
0.0,39,0.03463132389946601
0.0,40,0.03356269955438738
1.0,1,0.5673119507936406
1.0,2,0.394939900502598
1.0,3,0.3003642820702649
1.0,4,0.24033803315184968
1.0,5,0.19884363181524212
1.0,6,0.16848542545366366
1.0,7,0.1453527764364963
1.0,8,0.1271763711446935
1.0,9,0.11254649015233605
1.0,10,0.10054040760294325
1.0,11,0.09052858375691292
1.0,12,0.08206676089737987
1.0,13,0.07483251415286502
1.0,14,0.06858622870409085
1.0,15,0.06314617946284735
1.0,16,0.058372098874200806
1.0,17,0.054154038473501226
1.0,18,0.05040463498763447
1.0,19,0.047053625546205055
1.0,20,0.044043884275630066
1.0,21,0.04132850988059318
1.0,22,0.03886865304647156
1.0,23,0.036631873518968835
1.0,24,0.03459088226683123
1.0,25,0.03272256753775265
1.0,26,0.031007232892206575
1.0,27,0.02942799537909255
1.0,28,0.02797030600267197
1.0,29,0.026621564510330865
1.0,30,0.025370807602148597
1.0,31,0.02420845478601587
1.0,32,0.023126099855006032
1.0,33,0.02211633874201483
1.0,34,0.02117262658362057
1.0,35,0.020289158391970635
1.0,36,0.01946076892570377
1.0,37,0.01868284826537664
1.0,38,0.01795127030561401
1.0,39,0.017262331926337773
1.0,40,0.016612701036555325
