driver,transition,odds_ratio,lo,hi,p
water temperature,entry,1.2313347847629894,1.1515801078749963,1.3166130100711146,1.1231436608748873e-09
water temperature,exit,1.021941959890957,0.9438861809322393,1.1064526533848513,0.5923685175907605
wind speed,entry,0.9378764964051719,0.8994947285472751,0.9778960282845173,0.0026262752692423064
wind speed,exit,1.2281693050159694,1.1525629854364665,1.3087352802781445,2.2978170831543993e-10
solar radiation,entry,0.9899909999306172,0.9424374918184043,1.039943962811353,0.6887733453635216
solar radiation,exit,0.8512438786902301,0.7854919782618388,0.9224997340024279,8.610171579912686e-05
