driver,interaction,lo,hi,p
water temperature,-0.22980347131009066,-0.3291219783629916,-0.13048496425718967,5.761146107716785e-06
wind speed,-0.14138768516564756,-0.21945932849713973,-0.0633160418341554,0.00038597336507068734
solar radiation,0.1711160393842251,0.09309597587460464,0.24913610289384555,1.7183832264474397e-05
