q,def_mid,n,bU,lo,hi
0,-0.08105581329783007,148529,0.01361698856456414,0.005061572620841986,0.022172404508286295
1,0.5684817708871286,148400,0.032775135481977385,0.027898169689615285,0.03765210127433949
2,1.1105174880632642,148520,0.03476268146534113,0.029799021436567354,0.03972634149411491
3,1.8258156779130523,148396,0.033406023117741435,0.027488158441884184,0.03932388779359869
4,3.3912917646953344,148433,0.03760148698860813,0.029930911139371325,0.045272062837844934
