site_id,lat,lon,n_days,n_years
21989773,32.08041667,-81.0813611,2731,15
21989792,32.16583333,-81.13,2014,11
21989793,32.13666667,-81.1219444,1969,11
219897945,32.09777778,-81.0827778,1998,11
219897993,32.10305556,-81.0069444,1945,11
22035975,31.45333333,-81.3627778,2694,15
2203603,33.68388889,-84.4152778,2651,15
2203655,33.67891667,-84.35813889,2486,14
2203700,33.68902778,-84.3301111,2266,13
2203831,33.70569444,-84.2921944,2007,11
2203863,33.69319444,-84.25388889,2284,13
2203873,33.70941667,-84.2391667,2000,11
2203900,33.66577778,-84.224,2341,13
2203950,33.7632222,-84.2203611,2348,13
2203960,33.69666667,-84.1986111,2106,12
2204037,33.66819444,-84.1511667,2157,12
2207135,33.83041667,-84.1393333,1832,10
2207160,33.77327778,-84.0771667,1639,9
2208450,33.63938889,-83.7784167,1800,10
2208493,33.6285,-83.7988611,1810,10
2217643,34.1620583,-83.5250944,2071,12
2234000,28.7141611,-81.0353374,1739,10
2244040,29.596362,-81.6831761,1733,10
2264000,28.390564,-81.519517,2003,12
2264100,28.32528785,-81.5206284,2174,13
2266200,28.38500749,-81.6164632,2039,12
2266300,28.33278738,-81.579796,2703,15
2266495,28.27584517,-81.5439622,2052,12
2304000,28.05446224,-82.3637032,2666,15
2326526,30.3013159,-83.9796085,1401,8
2336120,33.83155556,-84.3427778,2710,15
2336152,33.81044444,-84.2479722,2333,13
23362095,33.82138889,-84.2747222,2149,12
2336240,33.8030833,-84.3406944,2699,15
2336300,33.82030556,-84.40763889,2438,14
2336313,33.82163889,-84.43863889,2663,15
2336340,33.89775,-84.34525,2187,12
2336360,33.86916667,-84.37888889,2687,15
2336410,33.8382222,-84.4392778,2708,15
2336526,33.7944722,-84.4741944,2712,15
2336728,33.74352778,-84.5681667,2690,15
2337170,33.65666667,-84.6736111,2707,15
23432415,31.62219444,-85.0591667,2680,15
2343805,31.24908333,-85.1066111,1445,8
2344630,33.35727778,-84.5826111,2264,14
2344673,33.38316667,-84.5727222,1603,9
2356000,30.91030556,-84.5805,1461,8
2357150,30.903,-84.7495,1455,8
2359170,29.94937094,-85.0154686,1422,8
2394682,34.0789722,-84.8544444,1586,9
2397530,34.20194444,-85.45325,2728,15
2423160,33.60371416,-86.5491517,2234,13
2423397,33.53454886,-86.5624847,2437,14
2423496,33.3692767,-86.7841551,2113,13
2455980,33.71121273,-86.6961013,2700,15
2457595,33.5970492,-86.8680483,2314,14
2458450,33.5176481,-86.87915889,2551,15
294213081345300,29.70385766,-81.5811919,1921,11
3007800,41.81867578,-78.29279129,2240,13
302309081333001,30.3860727,-81.55814749,1895,11
3027500,41.5531176,-78.5961347,1588,9
3034000,40.93923105,-79.00836738,2426,14
3036000,40.9275653,-79.2911508,2524,15
3049640,40.5361302,-79.81475899,2500,15
3058000,39.00452778,-80.4733611,2704,15
3061000,39.42230818,-80.2759187,2192,13
3067510,38.6170576,-79.8697849,2695,15
3072655,39.8250275,-79.9228206,1989,11
3073000,39.92313056,-80.072558,2020,12
3075070,40.26224454,-79.9011517,2675,15
3077100,39.80138889,-79.3686111,1805,12
3081000,39.8275767,-79.3725353,2546,15
3083500,40.2402222,-79.8066944,2181,13
3098600,41.10527778,-80.6655556,2587,15
3105500,40.88867389,-80.3370083,2493,14
3106000,40.8170092,-80.2422837,2384,14
3108490,40.6489079,-80.3833884,2333,13
3183500,37.7242874,-80.641468,2709,15
3216070,38.53205556,-82.68594444,1587,9
3219500,40.4195042,-83.1971372,2274,13
3220510,40.15311775,-83.1263,1546,10
3228039,39.8397222,-83.0094444,2252,13
3228300,40.2361735,-82.8512892,2286,13
3254520,38.9203417,-84.44799549,2182,13
3277200,38.77525,-84.97238889,2571,14
3292470,38.36117864,-85.57459969,1534,9
3292475,38.3034027,-85.62801689,1495,9
3292480,38.3127635,-85.6261558,1468,9
3292500,38.2114592,-85.7024613,1368,8
3293000,38.237222,-85.664722,1609,9
3293500,38.25034895,-85.7166287,1518,9
3293530,38.27645917,-85.693573,1730,10
3297800,37.9911111,-85.6411111,1471,9
3298000,38.18840166,-85.460235,1785,10
3298135,38.19479109,-85.557181,1346,8
3298150,38.16006729,-85.5421797,1676,10
3298250,38.0792321,-85.6160683,1444,9
3298300,38.0875,-85.6425,1235,8
3301900,38.1756242,-85.615237,2005,12
3301940,38.1492,-85.6788,1325,8
3302030,38.05423677,-85.8716296,1517,9
3302050,38.04693096,-85.8572681,1647,10
3321500,37.8583774,-87.4097294,1914,11
3353200,39.94642217,-86.260249,2498,14
3374100,38.4897748,-87.5500132,2255,13
3428180,35.8989535,-86.42554779,1998,11
3430200,36.18648009,-86.632762,2718,15
3431083,36.16394545,-86.699164,2744,15
3431091,36.1653343,-86.7213866,2673,15
3431514,36.1889717,-86.8283959,2697,15
343233905,35.89984185,-86.8428894,1635,9
34324146,35.9581186,-86.88972369,1376,8
3512000,35.46138889,-83.3536111,1780,10
375350097262800,37.89713889,-97.4411111,1905,11
4024000,46.703511,-92.418378,2506,14
4027000,46.4866144,-90.696297,2038,12
4067500,45.3258333,-87.6633333,2409,14
40851385,44.5286111,-88.01,2437,14
4087170,43.02444444,-87.8983333,2345,13
4101500,41.8292138,-86.2597325,2478,14
410333095530101,41.059353,-95.883669,1776,10
4108660,42.65085976,-86.106703,2481,14
4119400,43.0241884,-86.0264354,2522,14
411955088280601,41.33305556,-88.4669444,1302,8
412126095565201,41.3574722,-95.9477778,1708,10
4121650,43.693634,-85.4675442,2504,14
4121660,43.61308,-85.4778209,2507,14
4121680,43.485857,-85.63060189,2555,14
4121944,43.43085818,-85.5955989,2690,15
4121970,43.43474558,-85.6653239,2478,14
4124000,44.43639239,-85.6986792,2309,14
4124200,44.3630596,-85.820905,2708,15
4125460,44.19334009,-85.7697863,2653,15
4125550,44.25944459,-85.9416248,2645,15
4136000,44.6769593,-84.2925146,2698,15
4136500,44.66001385,-84.1311167,2722,15
4136900,44.61277537,-83.8376616,2717,15
4137005,44.56084749,-83.802764,2684,15
4137020,44.46334886,-83.7213714,2532,14
4137025,44.4541823,-83.6744254,2691,15
4137030,44.47279328,-83.57108839,2744,15
4137500,44.43640447,-83.4338609,2729,15
4142000,44.0725203,-84.0199939,2331,13
4157005,43.4219699,-83.951918,2289,13
4165500,42.5958395,-82.908745,2276,13
4166500,42.3730923,-83.2546513,2542,14
4168400,42.30837099,-83.2527063,1359,8
4176500,41.9605671,-83.5309896,2482,14
4188496,40.9792203,-83.6532653,1438,9
4193490,41.47616368,-83.7388261,1926,11
4199500,41.38199,-82.3168273,2214,13
4200500,41.38032368,-82.10459279,2066,12
420451121510000,42.0808333,-121.85,2751,15
420741121554001,42.12805556,-121.9277778,2738,15
4208000,41.39533087,-81.6298478,1989,12
420853121505500,42.14805556,-121.848611,2756,15
420853121505501,42.14805556,-121.848611,2721,15
421015121471800,42.1708333,-121.7883333,2721,15
4213152,42.07388889,-80.2347222,2117,12
4213500,42.46344444,-78.9345278,2328,13
421401121480900,42.2336111,-121.8025,2728,15
4231600,43.1417222,-77.6163056,2555,14
4249000,43.45138889,-76.50547222,2521,14
453004122510301,45.5009505,-122.852045,2713,15
453030122560101,45.5081944,-122.9335,2721,15
453040123065201,45.510878,-123.115666,2726,15
5054000,46.861111,-96.783333,2633,15
5082500,47.926944,-97.028889,2553,15
5406457,43.1097222,-89.6408333,2156,12
5435943,42.97694444,-89.5394444,2719,15
5435950,42.94916667,-89.5441667,2688,15
5515500,41.38963889,-86.7061667,1985,11
5517500,41.22001988,-86.96832769,1388,8
5518000,41.1828134,-87.3403096,1648,9
5524500,40.8705788,-87.3066723,1711,10
5538020,41.5,-88.1069444,1564,9
5543010,41.29988889,-88.6141944,1946,11
6711565,39.66497989,-105.00418085,2627,15
6796500,41.32,-96.403889,1358,9
6800500,41.293333,-96.283889,2438,15
6805000,41.051667,-96.338611,2303,14
6805500,41.014978,-96.1575,2392,15
6818000,39.75325,-94.8568333,2706,15
6887500,39.19833014,-96.3055532,1771,10
