site_id,lat,lon,n_summers,n_days,n_ep,med_dur,max_dur,ep_days,ep_per_summer,frac_days
1673000,37.76764189,-77.3322018,13,2300,0.0,,,0.0,0.0,0.0
2035000,37.67097957,-78.0858328,13,2325,0.0,,,0.0,0.0,0.0
205551460,37.27794444,-79.9375556,8,1363,0.0,,,0.0,0.0,0.0
2079500,36.60319824,-78.2977743,14,2362,116.0,2.0,31.0,483.0,8.285714285714286,20.448772226926334
208062765,36.3311111,-77.58027778,15,2682,0.0,,,0.0,0.0,0.0
2081022,36.0136111,-77.21527778,12,2145,0.0,,,0.0,0.0,0.0
2081094,35.81305556,-76.89277778,15,2726,5.0,2.0,17.0,24.0,0.3333333333333333,0.880410858400587
208114150,35.915,-76.72277778,15,2727,69.0,2.0,14.0,218.0,4.6,7.9941327466079946
2101726,35.73514055,-79.4230754,14,2402,18.0,3.5,20.0,98.0,1.2857142857142858,4.0799333888426315
2110400,33.95346259,-78.71974629,15,2657,58.0,3.0,24.0,266.0,3.8666666666666667,10.011290929619872
2110500,33.9126719,-78.7150175,15,2667,12.0,4.5,19.0,65.0,0.8,2.4371953505811774
2110550,33.8508333,-78.8972222,12,2052,11.0,7.0,23.0,80.0,0.9166666666666666,3.898635477582846
2110701,33.86100349,-79.0411471,14,2379,189.0,3.0,59.0,1137.0,13.5,47.793190416141236
2110704,33.8326111,-79.0437222,14,2499,15.0,3.0,27.0,91.0,1.0714285714285714,3.641456582633053
2110777,33.8515612,-78.6558483,15,2658,17.0,2.0,28.0,95.0,1.1333333333333333,3.5741158765989467
2110802,33.64905837,-79.09420639,15,2702,32.0,3.5,42.0,276.0,2.1333333333333333,10.214655810510733
2110815,33.44461245,-79.1739341,15,2704,7.0,2.0,7.0,21.0,0.4666666666666667,0.7766272189349113
212378405,35.20066667,-80.0618056,14,2539,4.0,2.0,4.0,9.0,0.2857142857142857,0.3544702638834187
212880025,34.9834833,-79.8775806,13,2361,9.0,2.0,6.0,20.0,0.6923076923076923,0.8470986869970352
2129375,34.8662583,-79.878925,8,1395,1.0,1.0,1.0,1.0,0.125,0.07168458781362007
2135000,34.05675,-79.2477222,10,1767,0.0,,,0.0,0.0,0.0
2138520,35.74125,-81.8352528,8,1463,2.0,1.0,1.0,2.0,0.25,0.1367053998632946
2141500,35.77262778,-81.4306556,8,1451,0.0,,,0.0,0.0,0.0
214196125,35.8218972,-81.1903833,8,1426,0.0,,,0.0,0.0,0.0
214244102,35.75719444,-81.08915,9,1644,0.0,,,0.0,0.0,0.0
214264790,35.4277333,-80.9573417,8,1464,0.0,,,0.0,0.0,0.0
214267602,35.33400556,-80.9864083,10,1762,0.0,,,0.0,0.0,0.0
2147310,34.598056,-80.890556,9,1560,7.0,2.0,7.0,18.0,0.7777777777777778,1.1538461538461537
21474095,34.55801667,-80.8935,9,1630,3.0,1.0,4.0,6.0,0.3333333333333333,0.36809815950920244
2147505,34.541111,-80.875278,8,1393,4.0,1.0,2.0,5.0,0.5,0.3589375448671931
