window_days,n,b,lo,hi,p,or
1,21900,0.20552469075585908,0.1419881455332795,0.2690612359784387,2.2978170831543663e-10,1.2281693050159694
2,21898,0.1273479219185302,0.07545870655708867,0.17923713727997173,1.5078172364734514e-06,1.1358121229775382
3,21895,0.09523393376842597,0.043167473017417975,0.14730039451943397,0.00033715713415882,1.099916132557832
5,21886,0.055833860155606194,0.005964219915367948,0.10570350039584445,0.028208946749909838,1.0574219892173382
7,21878,0.01054952450888312,-0.03266265248680693,0.05376170150457317,0.6322999500499313,1.0106053669401749
10,21867,-0.028137228485796018,-0.06724206578958705,0.010967608817995012,0.15846317705742208,0.9722549365734885
15,21843,-0.07389434305125109,-0.1156341772466718,-0.03215450885583038,0.0005207822008182746,0.9287698196425931
21,21814,-0.08364266243533626,-0.1272058541834031,-0.04007947068726942,0.00016775905556990205,0.9197598621291968
30,21765,-0.06921818964476109,-0.11745533190440907,-0.020981047385113104,0.004916373970475726,0.9331230600761254
