driver,transition,or_2mg,or_4mg,lo_4mg,hi_4mg
water temperature,entry,1.2313347847629894,1.320264255030835,1.2540040682505176,1.3900255567304105
water temperature,exit,1.021941959890957,1.0135116556805195,0.9671398561597967,1.0621068604069055
wind speed,entry,0.9378764964051719,0.9906731579907947,0.9593935466516655,1.0229725949155157
wind speed,exit,1.2281693050159694,1.2901519391580087,1.2227695292747909,1.361247550141652
solar radiation,entry,0.9899909999306172,0.9614507982267321,0.9274328130654644,0.9967165538983047
solar radiation,exit,0.8512438786902301,0.8294773884274368,0.7838991918015974,0.8777056349951436
